uuid,image1_index,image2_index,pair_id,method,x1,y1,x2,y2,confidence,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
e2e4f2f3-8df9-4791-a3db-7c320ab13ac2,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,629.2035522460938,23.795068740844727,659.3486938476562,0.8912034034729004,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
93b5d113-e045-4143-8159-f192d9bfbd43,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,175.2212371826172,565.4867553710938,62.607276916503906,589.1286010742188,0.8878052830696106,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
552ff2db-907e-4981-8c52-04d8631a5f16,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,151.3274383544922,629.2035522460938,39.834999084472656,660.422607421875,0.8809548020362854,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
41593c30-9780-4dd1-b759-3f8e09518c60,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,151.3274383544922,613.2743530273438,39.4988899230957,643.9619750976562,0.8791295289993286,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
6c77a450-4736-4dfb-afc6-be984fada2b2,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,127.43363189697266,645.1327514648438,14.853525161743164,676.3718872070312,0.8786070346832275,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
d8df80c1-0954-4e4f-bd71-cf7fe4ad1094,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,127.43363189697266,286.7256774902344,16.0423641204834,318.4178771972656,0.8774133920669556,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
3dbbd95b-3311-427e-9fb5-b69492206971,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,159.2920379638672,637.1681518554688,48.304439544677734,667.6859130859375,0.8772450089454651,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
603ddb83-8b0a-4518-8a65-e84b09b02b2f,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,167.2566375732422,493.8053283691406,55.41474533081055,524.9152221679688,0.874348521232605,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
3dcea0e7-02e5-403f-a957-252832adbefc,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,167.2566375732422,422.1239013671875,63.586402893066406,445.8740234375,0.8688783645629883,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
c0282cce-3ab8-461e-8124-a19eadc9dcc9,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,159.2920379638672,629.2035522460938,46.892024993896484,659.7898559570312,0.8687263131141663,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
