uuid,image1_index,image2_index,pair_id,x1,y1,x2,y2,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
e76414ce-922f-461f-a427-a4222981fc97,1,2,image_0005_image_0006,87.6106185913086,246.9026641845703,109.88214874267578,199.25823974609375,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
bac02eb2-2b8e-4ccd-806b-1101bc9d0522,1,2,image_0005_image_0006,71.6814193725586,254.8672637939453,96.03998565673828,208.7141571044922,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
851e02f6-947c-43c4-925c-d4aebb4ab96d,1,2,image_0005_image_0006,119.46903228759766,254.8672637939453,112.53108215332031,295.27398681640625,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
343da250-bdcd-41b2-88c7-dc57af9133f6,1,2,image_0005_image_0006,79.6460189819336,262.8318786621094,79.93919372558594,263.06683349609375,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
e1028220-b4a0-46c2-bad0-04c0af306d4c,1,2,image_0005_image_0006,95.57522583007812,262.8318786621094,87.61937713623047,262.32904052734375,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
e77c7542-6ae0-4607-837d-8f6947b2e405,1,2,image_0005_image_0006,135.3982391357422,262.8318786621094,127.69999694824219,301.4713439941406,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
5b94a68e-33f1-4cd9-ac6c-4fba36dcab39,1,2,image_0005_image_0006,151.3274383544922,262.8318786621094,149.6201171875,301.1838684082031,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
7707d2e9-3018-4e71-80cd-bdebc81cdf51,1,2,image_0005_image_0006,159.2920379638672,262.8318786621094,133.79519653320312,200.4125213623047,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
a514e4ed-fc5e-433d-9fbb-859c97e38e34,1,2,image_0005_image_0006,79.6460189819336,270.7964782714844,78.69551086425781,270.28839111328125,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
6675fb6a-e9e7-43e2-abc9-47610a60328e,1,2,image_0005_image_0006,167.2566375732422,270.7964782714844,167.17144775390625,309.01971435546875,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
4fc8a3cc-6db7-4e15-a985-0b8976c8981f,1,2,image_0005_image_0006,39.8230094909668,286.7256774902344,16.406557083129883,222.56796264648438,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
97090fb4-8d56-4b1c-9b10-dc0024a676b2,1,2,image_0005_image_0006,119.46903228759766,294.6902770996094,118.92237091064453,293.5709228515625,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
aa642810-a744-4c15-9415-2412893e3541,1,2,image_0005_image_0006,47.78761291503906,302.6548767089844,48.0540771484375,308.46881103515625,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
