uuid,image1_index,image2_index,pair_id,method,threshold,x1,y1,x2,y2,confidence,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
0a6e388e-b07c-423a-ac59-c85570a6d30e,1,2,image_0005_image_0006,loftr,80.0,135.3982391357422,23.89380645751953,135.5717010498047,21.651348114013672,0.378446489572525,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
02a313b0-100c-4dd6-a6e8-6ff3bc0f18fb,1,2,image_0005_image_0006,loftr,80.0,159.2920379638672,23.89380645751953,156.7870330810547,31.041370391845703,0.8247861266136169,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
ee8eca04-a69f-49b6-a9c8-3402d17af019,1,2,image_0005_image_0006,loftr,80.0,159.2920379638672,31.858407974243164,158.93116760253906,40.286285400390625,0.6102120876312256,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
1651464a-07d7-41e8-8c62-7aa1e50166eb,1,2,image_0005_image_0006,loftr,80.0,39.8230094909668,55.75221252441406,40.18816375732422,54.77623748779297,0.5156629085540771,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
11576edb-3bf4-4c02-9079-1f7dfaf09cd6,1,2,image_0005_image_0006,loftr,80.0,23.89380645751953,63.71681594848633,22.46215057373047,33.741485595703125,0.5208410620689392,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
9ccdfefe-acc1-4ce6-929b-c374aaf8865e,1,2,image_0005_image_0006,loftr,80.0,31.858407974243164,63.71681594848633,30.135009765625,63.82000732421875,0.3166084587574005,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
c83812d1-bf05-44ca-89e7-8730fdd4be65,1,2,image_0005_image_0006,loftr,80.0,39.8230094909668,63.71681594848633,41.02491760253906,65.9505386352539,0.8053978085517883,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
57ab5430-18fe-466f-bf9a-f40d7eacea3c,1,2,image_0005_image_0006,loftr,80.0,23.89380645751953,71.6814193725586,31.715896606445312,71.0923080444336,0.26176944375038147,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
dea713ab-389e-481d-9967-145657479ec0,1,2,image_0005_image_0006,loftr,80.0,103.53982543945312,71.6814193725586,102.63056945800781,55.45935821533203,0.61231929063797,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
adf9296f-4e1d-49c8-a544-befa37070deb,1,2,image_0005_image_0006,loftr,80.0,151.3274383544922,79.6460189819336,151.8241729736328,48.254398345947266,0.3767088055610657,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
